최종_ard
"('누워서엉덩이들어올리기', '실내자전거타기', '앉아서다리밀기', '앉아서다리펴기', '엎드려버티기', '윗몸올리기')"
"('앉아서다리밀기', '앉아서다리펴기', '앉아서당겨내리기', '앉아서밀기', '엎드려버티기', '윗몸올리기')"
"('수영', '앉았다일어서기', '엎드려버티기', '윗몸올리기', '줄넘기', '팔굽혀펴기')"
"('실내자전거타기', '앉아서다리밀기', '앉아서당겨내리기', '엎드려버티기', '윗몸올리기', '트레드밀에서걷기')"
"('달리기', '수영', '앉았다일어서기', '엎드려버티기', '줄넘기', '팔굽혀펴기')"
"('누워서엉덩이들어올리기', '실내자전거타기', '앉아서당겨내리기', '엎드려버티기', '윗몸올리기', '트레드밀에서걷기')"
"('달리기', '수영', '엎드려버티기', '윗몸올리기', '줄넘기', '팔굽혀펴기')"
"('누워서엉덩이들어올리기', '앉았다일어서기', '엎드려서팔다리들기', '윗몸올리기', '팔굽혀펴기', '한발앞으로내밀고앉았다일어서기')"
"('누워서엉덩이들어올리기', '실내자전거타기', '앉아서다리밀기', '앉아서당겨내리기', '윗몸올리기', '트레드밀에서걷기')"
"('누워서엉덩이들어올리기', '앉아서다리밀기', '앉아서당겨내리기', '엎드려버티기', '윗몸올리기', '트레드밀에서걷기')"
"('걷기', '수영', '앉았다일어서기', '전완대고버티기', '조깅', '줄넘기운동')"
"('걷기', '수영', '앉았다일어서기', '자전거타기', '전완대고버티기', '조깅')"
"('수영', '앉았다일어서기', '자전거타기', '전완대고버티기', '조깅', '줄넘기운동')"
"('맨몸운동루틴프로그램', '수영', '앉았다일어서기', '자전거타기', '조깅', '줄넘기운동')"
"('걷기', '앉았다일어서기', '자전거타기', '전완대고버티기', '조깅', '줄넘기운동')"
"('달리기', '수영', '앉았다일어서기', '엎드려버티기', '윗몸올리기', '줄넘기')"
"('누워서엉덩이들어올리기', '실내자전거타기', '앉아서다리밀기', '엎드려버티기', '윗몸올리기', '트레드밀에서걷기')"
"('누워서엉덩이들어올리기', '앉았다일어서기', '엎드려버티기', '엎드려서팔다리들기', '윗몸올리기', '팔굽혀펴기')"
"('달리기', '수영', '앉았다일어서기', '윗몸올리기', '줄넘기', '팔굽혀펴기')"
"('달리기', '수영', '앉았다일어서기', '엎드려버티기', '윗몸올리기', '팔굽혀펴기')"
"('누워서엉덩이들어올리기', '실내자전거타기', '앉아서다리밀기', '앉아서당겨내리기', '엎드려버티기', '윗몸올리기')"
"('걷기', '수영', '앉았다일어서기', '자전거타기', '조깅', '줄넘기운동')"
"('누워서다리들어올리기', '앉았다일어서기', '엎드려버티기', '옆으로누워버티기', '윗몸올리기', '팔굽혀펴기')"
"('걷기', '수영', '자전거타기', '전완대고버티기', '조깅', '줄넘기운동')"
"('서서상체일으키기', '앉아서다리밀기', '앉아서다리펴기', '앉아서당겨내리기', '앉아서밀기', '윗몸올리기')"
"('누워서엉덩이들어올리기', '실내자전거타기', '앉아서다리밀기', '앉아서당겨내리기', '엎드려버티기', '트레드밀에서걷기')"
"('누워서다리들어올리기', '앉았다일어서기', '엎드려버티기', '엎드려서팔다리들기', '윗몸올리기', '팔굽혀펴기')"
"('달리기', '앉았다일어서기', '엎드려버티기', '윗몸올리기', '줄넘기', '팔굽혀펴기')"
"('걷기', '수영', '앉았다일어서기', '자전거타기', '전완대고버티기', '줄넘기운동')"
